phoneme,a3;0_f22_m0,a3;0_f0_m25,a3;6_f26_m0,a3;6_f0_m29,a4;0_f37_m0,a4;0_f0_m54,a4;6_f51_m0,a4;6_f0_m44,a5;0_f45_m0,a5;0_f0_m50,a5;6_f45_m0,a5;6_f0_m47,a6;0_f68_m0,a6;0_f0_m72,a7;0_f62_m73,a8;0_f62_m68,a9;0_f65_m52
m-,91,100,100,100,97,100,98,100,100,98,100,100,100,96,100,98,99
-m (2),89,92,98,98,96,98,100,98,100,98,97,99,99,94,98,97,98
n-,82,100,100,97,97,98,100,93,98,98,100,100,100,94,99,98,98
-n (2),80,90,100,95,93,95,99,94,98,97,100,98,99,96,99,97,99
-ŋ,50,72,69,66,70,70,73,66,73,72,82,72,81,75,72,82,88
h- (2),98,90,96,100,96,94,99,98,100,100,100,100,100,99,100,100,100
w- (2),100,94,96,100,99,97,100,99,100,100,100,100,100,99,100,100,100
j-,59,68,77,93,95,81,92,84,93,92,100,96,97,94,99,100,100
p-,95,88,100,97,97,96,98,98,100,92,100,96,100,99,100,100,99
-p (2),93,94,98,100,99,97,98,99,99,94,100,99,96,98,97,98,98
b- (3),98,99,100,100,100,99,99,98,100,100,100,100,100,100,100,100,100
-b,91,92,88,97,95,89,98,93,100,94,98,98,99,94,99,99,98
t-,95,88,92,93,100,100,100,100,100,98,100,100,100,99,99,100,100
-t (3),85,80,82,87,91,93,90,95,87,92,90,91,93,90,95,96,95
d- (3),97,95,99,100,98,98,100,98,100,99,100,100,99,99,99,99,100
-d,91,80,96,93,97,96,96,100,98,96,98,96,97,93,99,98,100
k- (3),77,76,92,89,100,90,99,95,99,91,100,99,100,99,99,99,100
-k (3),92,97,94,92,99,97,97,98,99,99,99,99,100,98,99,99,100
g- (2),82,80,92,88,100,93,96,98,100,96,100,100,100,98,98,99,100
-g (2),82,90,88,88,96,93,96,92,99,98,97,96,96,94,96,97,97
f-,86,64,92,93,100,96,100,100,98,96,100,98,100,100,100,100,100
-f,82,72,77,86,81,76,76,84,78,88,93,94,91,90,96,97,99
v-,41,52,62,66,78,76,90,80,91,84,98,96,99,94,99,99,100
-v,64,56,54,66,86,72,90,75,87,86,91,91,93,90,95,99,97
θ-,30,34,50,43,59,44,68,56,71,56,78,60,93,78,91,98,100
-θ,27,24,54,38,59,48,67,50,71,54,82,77,91,78,90,96,98
ð-,32,20,58,52,76,43,90,64,91,74,98,87,97,83,96,100,100
s- (2),75,48,75,71,69,71,74,69,83,79,81,69,89,79,86,85,90
-s (2),77,46,79,83,72,64,77,70,83,79,77,66,87,79,79,83,90
z-,41,44,50,69,54,65,71,68,76,64,80,64,84,75,81,88,92
-z (2),48,38,65,47,58,59,60,66,76,69,69,63,83,75,80,80,87
ʃ- (2),68,44,75,69,88,70,85,76,86,87,89,81,90,88,94,94,97
-ʃ,64,44,69,69,86,70,86,66,84,86,80,85,90,88,94,92,99
tʃ- (2),66,42,67,67,80,69,87,77,89,89,90,82,91,89,91,96,98
-tʃ,64,36,69,66,76,78,88,73,80,82,89,85,93,89,93,95,95
dʒ-,73,52,73,72,86,78,90,80,91,88,91,89,94,92,96,95,98
-dʒ (2),61,46,77,69,74,73,86,76,83,84,86,85,90,87,93,97,95
l- (2),77,36,79,69,82,58,86,75,93,74,94,86,98,96,97,98,100
-l (2),36,14,54,38,53,49,75,53,64,64,86,74,90,76,90,96,98
-əl,36,20,54,41,51,46,71,50,62,66,78,68,87,75,88,93,98
-l-,59,28,73,72,84,69,80,73,87,78,91,87,94,90,95,94,99
r- (2),25,26,46,52,62,56,67,47,63,71,69,78,79,76,87,92,96
-ɚ (4),45,43,61,68,85,68,71,61,74,84,76,81,85,82,86,96,97
-r-,45,36,46,55,70,54,71,59,71,70,71,79,79,76,87,95,97
